"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"98年04月",-16.1,-10.4,,2.3,-14.4,-25.8,-29,-26.9
"98年05月",-17,-18.6,,-61.4,-13.4,-9.3,-23.2,-15.2
"98年06月",-11.7,-5.6,,-34.2,-12.2,-20.3,-14.9,-17.9
"98年07月",-11.3,-1.5,,-28.5,-15.3,-19.1,-17.4,-18.2
"98年08月",-11.4,-3.7,,-35.1,-13.3,-14.8,-19.1,-16.8
"98年09月",-14,0.1,,-48.4,-16.5,-26.5,-18,-23.1
"98年10月",-12.9,-2,,-8,-10.1,-35.2,-21.4,-30.2
"98年11月",-16,-1.4,,-44.4,-17.3,-29.3,-27.9,-28.6
"98年12月",-10.8,-2.4,,-26.2,-15.3,-16.9,-6.2,-12.5
"99年01月",-11.2,-8.7,,15.4,-9.7,-16,-20.1,-17.1
