"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"11年01月",-0.6,-0.8,-1.3,-1.3
"11年02月",-0.5,-0.8,-1.3,-1.2
"11年03月",-0.5,-0.7,-1.4,-1.3
"11年04月",-0.4,-0.2,-1.1,-0.8
"11年05月",-0.4,-0.1,-0.8,-0.6
"11年06月",-0.4,-0.2,-0.8,-0.7
"11年07月",0.2,0.1,-0.5,-0.4
"11年08月",0.2,0.2,-0.5,-0.4
"11年09月",0,0.2,-0.4,-0.4
"11年10月",-0.2,-0.1,-1,-0.7
"11年11月",-0.5,-0.2,-1.1,-0.8
"11年12月",-0.2,-0.1,-1.1,-0.7
"12年01月",0.1,-0.1,-0.9,-0.6
"12年02月",0.3,0.1,-0.6,-0.3
"12年03月",0.5,0.2,-0.5,-0.3
"12年04月",0.4,0.2,-0.3,-0.3
"12年05月",0.2,-0.1,-0.6,-0.5
"12年06月",-0.2,-0.2,-0.6,-0.4
"12年07月",-0.4,-0.3,-0.6,-0.4
"12年08月",-0.4,-0.3,-0.5,-0.4
"12年09月",-0.3,-0.1,-0.6,-0.5
"12年10月",-0.4,0,-0.5,-0.5
"12年11月",-0.2,-0.1,-0.5,-0.4
"12年12月",-0.1,-0.2,-0.6,-0.5
"13年01月",-0.3,-0.2,-0.7,-0.6
"13年02月",-0.7,-0.3,-0.9,-0.8
"13年03月",-0.9,-0.5,-0.8,-0.7
"13年04月",-0.7,-0.4,-0.6,-0.6
"13年05月",-0.3,0,-0.4,-0.3
"13年06月",0.2,0.4,-0.2,-0.2
"13年07月",0.7,0.7,-0.1,-0.1
"13年08月",0.9,0.8,-0.1,0
"13年09月",1.1,0.7,0,0
"13年10月",1.1,0.9,0.3,0.3
"13年11月",1.5,1.2,0.6,0.5
"13年12月",1.6,1.3,0.7,0.7
"14年01月",1.4,1.3,0.7,0.7
"14年02月",1.5,1.3,0.8,0.8
"14年03月",1.6,1.3,0.7,0.8
"14年04月",3.4,3.2,2.3,2.7
"14年05月",3.7,3.4,2.2,2.7
"14年06月",3.6,3.3,2.3,2.7
"14年07月",3.4,3.3,2.3,2.8
"14年08月",3.3,3.1,2.3,2.7
"14年09月",3.2,3,2.3,2.7
"14年10月",2.9,2.9,2.2,2.7
"14年11月",2.4,2.7,2.1,2.5
"14年12月",2.4,2.5,2.1,2.5
"15年01月",2.4,2.2,2.1,2.5
"15年02月",2.2,2,2,2.5
"15年03月",2.3,2.2,2.1,2.5
"15年04月",0.6,0.3,0.4,0.7
"15年05月",0.5,0.1,0.4,0.7
"15年06月",0.4,0.1,0.6,0.8
"15年07月",0.2,0,0.6,0.9
"15年08月",0.2,-0.1,0.8,1
"15年09月",0,-0.1,0.9,1.2
"15年10月",0.3,-0.1,0.7,1.1
"15年11月",0.3,0.1,0.9,1.3
"15年12月",0.2,0.1,0.8,1.2
