"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"04年07月",8.2,5.8,3.8,3.1,3.6,4.7,4.4,11.2,6.3,3.5,3.8,5.7,5.4,5.2
"04年08月",8.2,5.8,4.7,3.1,3.4,4.8,4.5,10.8,6.2,3.2,3,6,5.2,4.9
"04年09月",7.4,5.7,4.4,3,3.1,4.5,4.3,11.3,5.9,3.2,3.2,5.4,5.1,4.9
"04年10月",8.1,5.9,4.3,3,2.5,4.5,4.3,10.1,5.9,3.4,3.1,5.3,4.9,4.8
"04年11月",8.4,5.2,4.2,3,2.8,4.4,4.2,10.2,5.3,3.6,3.3,5.1,4.9,4.7
"04年12月",7.7,5.1,4.8,2.9,3,4.4,4.2,9.7,5.3,3.5,3.5,4.8,4.8,4.6
"05年01月",6.5,6.4,4.3,2.7,2.8,4.4,4.2,10.1,5.5,3.4,3.3,5.1,4.9,4.7
"05年02月",7.2,6.3,4.2,2.6,3.2,4.5,4.3,10.3,5.8,3.6,3.2,5.3,5,4.8
"05年03月",7,6.4,3.8,2.7,3.2,4.5,4.3,10,5.5,3.7,3.3,4.8,4.9,4.7
"05年04月",7.9,6.4,3.9,2.7,2.7,4.5,4.3,10.7,5.6,3.6,3.1,4.6,4.8,4.6
"05年05月",7.6,6.2,4.1,3.2,2.3,4.5,4.3,10.3,5.4,3.5,3.1,5.2,4.8,4.7
"05年06月",6.8,5.2,4.5,3,2.3,4.2,4,9.2,5,3.5,3.2,5.1,4.6,4.5
"05年07月",7.8,5.9,4.6,2.6,2.8,4.5,4.3,9.5,5.1,3.6,3.1,5.1,4.7,4.5
"05年08月",7.3,5.8,4.1,2.9,2.9,4.4,4.1,9.4,5.1,3.7,3.3,4.6,4.6,4.4
"05年09月",7,5.7,4.2,3,2.8,4.3,4.1,9.3,4.8,3.4,2.9,4.8,4.5,4.3
"05年10月",7.8,6.4,4.5,2.8,2.6,4.6,4.3,9.7,4.9,3.4,3.3,5.1,4.7,4.5
"05年11月",7.9,7,4.1,2.9,3,4.8,4.5,9.8,4.8,3.8,3.3,5.1,4.7,4.6
"05年12月",8.1,6.2,3.7,2.7,3,4.4,4.2,9.9,5.4,3.4,3,4.8,4.7,4.5
"06年01月",6.9,5.1,3.9,3.2,3.2,4.3,4,9.2,5.5,3.3,3.4,5.3,4.9,4.7
"06年02月",6.1,4.9,3.6,2.7,2.7,3.9,3.7,9.1,5.1,3.4,3.3,5,4.6,4.4
"06年03月",7,5.6,3.6,2.5,2.8,4.1,3.9,9.5,5.2,3.2,3.1,4.4,4.5,4.4
"06年04月",7.2,4.8,4,2.4,3.2,4.1,3.9,9.3,5.3,2.5,3,4.8,4.4,4.3
"06年05月",7.2,5,3.9,2.6,3.2,4.1,3.9,9.2,5.3,2.8,3.1,4.2,4.4,4.2
"06年06月",8.5,5.4,3.8,3,3.3,4.5,4.2,9.1,5.1,3,3,4.5,4.4,4.3
"06年07月",7.3,5.4,4,2.5,2.8,4.2,4,8.9,4.8,3.3,3.2,4.3,4.4,4.2
"06年08月",6.6,5.6,3.8,2.5,2.5,4,3.8,9,5,3.4,3.2,4.2,4.4,4.3
"06年09月",7.3,5.6,3.3,2.7,2.8,4.1,3.9,8.8,5.2,3.5,2.9,4.3,4.4,4.3
"06年10月",7.2,4.9,3.4,3.2,2.9,4,3.8,9.2,5.2,3.2,2.9,4.5,4.4,4.3
"06年11月",6.4,5,3.8,2.8,2.5,4,3.7,7.6,5.6,3.1,3.3,4.4,4.4,4.2
"06年12月",6.3,5.4,3.9,2.5,2.2,4,3.7,7.9,5.4,3.3,3.1,4,4.3,4.2
"07年01月",8.2,5.9,3.6,2.5,2.4,4.2,3.9,9.2,4.9,3.2,2.9,4,4.2,4.1
"07年02月",8,5.6,3.7,2.6,2.5,4.2,4,9,4.8,2.8,2.9,4.2,4.2,4.1
"07年03月",6.8,5,4.4,2.7,2.5,4.1,3.9,8.2,5.1,3.1,2.9,4.4,4.3,4.1
"07年04月",6.2,5.2,3.8,2.6,2.6,3.9,3.7,7.9,4.7,3.4,2.8,4,4.1,4
"07年05月",6.5,5,3.5,2.6,2.7,3.9,3.7,7.9,4.8,2.8,2.7,4.1,4,3.9
"07年06月",6.2,5,3.4,2.4,2.2,3.6,3.4,8.3,4.8,2.8,2.7,3.9,4,3.8
"07年07月",5.7,4.7,3.4,2.9,1.9,3.5,3.4,7.6,4.8,2.9,2.7,3.7,3.9,3.8
"07年08月",8.1,4.5,3.9,2.9,1.8,3.9,3.7,7.4,4.4,3,2.8,3.9,3.9,3.7
"07年09月",8.5,4.7,4.5,2.6,2.2,4.1,3.9,7.4,4.9,3.2,3,4,4.1,4
"07年10月",7.3,5.4,4.3,2.4,2.8,4.2,3.9,8.5,5.1,3.3,3.1,3.9,4.3,4
"07年11月",7.1,5.2,3.5,2.5,2.7,3.9,3.7,8.6,5,2.9,2.8,3.9,4.1,3.9
"07年12月",7.6,4.9,3.7,2.9,2.2,3.9,3.7,8.4,4.3,3,2.8,4.2,4,3.8
