"Date","正社員労働市場関係指標","パートタイムを含む一般","パートタイムを除く一般","一般パートタイム"
"13年03月",0.52,0.87,0.75,1.18
"13年04月",0.53,0.88,0.76,1.2
"13年05月",0.54,0.9,0.77,1.21
"13年06月",0.55,0.92,0.79,1.24
"13年07月",0.56,0.93,0.81,1.25
"13年08月",0.57,0.95,0.82,1.26
"13年09月",0.58,0.96,0.84,1.26
"13年10月",0.59,0.99,0.86,1.29
"13年11月",0.6,1.01,0.88,1.31
"13年12月",0.62,1.03,0.91,1.33
"14年01月",0.62,1.04,0.92,1.33
"14年02月",0.64,1.06,0.93,1.35
"14年03月",0.65,1.07,0.94,1.38
"14年04月",0.65,1.08,0.95,1.38
"14年05月",0.66,1.09,0.96,1.39
"14年06月",0.67,1.09,0.96,1.4
"14年07月",0.67,1.1,0.97,1.39
"14年08月",0.68,1.1,0.97,1.39
"14年09月",0.68,1.1,0.97,1.39
"14年10月",0.68,1.11,0.98,1.4
"14年11月",0.69,1.12,0.99,1.41
"14年12月",0.7,1.14,1.01,1.44
"15年01月",0.71,1.15,1.01,1.45
"15年02月",0.71,1.16,1.02,1.46
"15年03月",0.72,1.16,1.02,1.47
"15年04月",0.73,1.16,1.02,1.47
"15年05月",0.74,1.18,1.04,1.49
"15年06月",0.74,1.19,1.04,1.51
"15年07月",0.75,1.2,1.06,1.53
"15年08月",0.76,1.22,1.07,1.56
"15年09月",0.77,1.23,1.08,1.57
"15年10月",0.77,1.24,1.08,1.59
"15年11月",0.79,1.26,1.1,1.6
"15年12月",0.8,1.27,1.11,1.62
"16年01月",0.81,1.29,1.13,1.63
"16年02月",0.82,1.3,1.14,1.65
"16年03月",0.83,1.31,1.15,1.65
"16年04月",0.84,1.33,1.17,1.68
"16年05月",0.86,1.35,1.19,1.7
"16年06月",0.86,1.36,1.19,1.71
"16年07月",0.87,1.36,1.2,1.71
"16年08月",0.88,1.37,1.21,1.72
"16年09月",0.89,1.39,1.22,1.73
"16年10月",0.9,1.4,1.24,1.74
"16年11月",0.91,1.41,1.25,1.74
"16年12月",0.92,1.42,1.27,1.74
"17年01月",0.93,1.43,1.28,1.74
"17年02月",0.94,1.45,1.29,1.76
"17年03月",0.95,1.45,1.3,1.76
"17年04月",0.97,1.48,1.33,1.77
"17年05月",0.98,1.49,1.35,1.77
"17年06月",0.99,1.5,1.36,1.78
"17年07月",1,1.51,1.37,1.79
"17年08月",1.01,1.52,1.38,1.79
"17年09月",1.02,1.53,1.39,1.78
"17年10月",1.04,1.55,1.42,1.8
"17年11月",1.05,1.56,1.43,1.81
"17年12月",1.07,1.58,1.45,1.83
"18年01月",1.07,1.59,1.46,1.83
"18年02月",1.08,1.59,1.47,1.82
"18年03月",1.08,1.59,1.47,1.82
"18年04月",1.09,1.6,1.48,1.81
"18年05月",1.1,1.6,1.49,1.8
"18年06月",1.12,1.61,1.51,1.81
"18年07月",1.13,1.62,1.52,1.82
"18年08月",1.13,1.63,1.52,1.83
"18年09月",1.14,1.63,1.52,1.83
"18年10月",1.13,1.63,1.52,1.82
"18年11月",1.14,1.63,1.53,1.81
"18年12月",1.14,1.62,1.53,1.8
"19年01月",1.14,1.63,1.53,1.8
"19年02月",1.15,1.63,1.53,1.8
"19年03月",1.15,1.62,1.53,1.79
"19年04月",1.15,1.63,1.53,1.8
"19年05月",1.15,1.62,1.52,1.79
"19年06月",1.15,1.61,1.51,1.78
"19年07月",1.14,1.59,1.5,1.76
"19年08月",1.14,1.59,1.5,1.75
"19年09月",1.13,1.58,1.49,1.74
"19年10月",1.13,1.58,1.49,1.73
"19年11月",1.13,1.57,1.49,1.72
"19年12月",1.13,1.57,1.49,1.72
"20年01月",1.07,1.49,1.4,1.63
"20年02月",1.05,1.45,1.37,1.59
"20年03月",1.03,1.39,1.32,1.51
"20年04月",0.98,1.32,1.25,1.44
"20年05月",0.9,1.2,1.14,1.31
"一般職業紹介状況|有効求人倍率|季節調整値 Source:厚生労働省",,,,
"有効求人倍率",,,,
